时间,实际交易动作,60m交易,是否持仓,大盘状态,代码,名称,现价,日线风控,客观缠论信号,60m笔方向,15分信号,区间价格对齐,决策理由,日线A中枢ZD,日线C中枢ZD,锁定ZG,15m_DIF,15m_DEA,底分型成立
2026-05-11 14:51:53,观望,观望,是,安全,603317,天味食品,15.86,安全,无信号,向下,无信号,-,4条件未全部满足（无买卖信号；15分无背驰；区间价格对齐-），继续观望,12.56,12.98,17.28,-0.1495,-0.2039,否
2026-05-11 14:51:53,观望,观望,是,安全,600660,福耀玻璃,59.38,安全,无信号,向上,无信号,-,4条件未全部满足（无买卖信号；15分无背驰；区间价格对齐-），继续观望,60.10,56.86,59.60,-0.0743,-0.0291,否
2026-05-11 14:51:53,观望,观望,是,安全,600938,中国海油,36.30,安全,无信号,向下,无信号,-,4条件未全部满足（无买卖信号；15分无背驰；区间价格对齐-），继续观望,34.06,35.29,37.85,-0.0952,-0.1310,否
2026-05-11 14:51:53,观望,买入,是,安全,600895,张江高科,38.40,安全,二买,向下,无信号,-,4条件未全部满足（15分无背驰；区间价格对齐-），继续观望,36.90,36.21,36.20,0.1907,0.2118,否
2026-05-11 14:51:53,观望,买入,是,安全,000429,粤高速A,12.87,安全,二买,向下,无信号,-,4条件未全部满足（15分无背驰；区间价格对齐-），继续观望,12.70,12.58,12.89,0.0729,0.0512,否
2026-05-11 14:51:53,观望,卖出,是,安全,002415,海康威视,35.34,安全,二卖+二买,向上,无信号,-,4条件未全部满足（买点但笔方向向上；15分无背驰；区间价格对齐-），继续观望,31.96,33.30,36.35,-0.0856,0.0102,否
2026-05-11 14:51:53,观望,观望,是,安全,hk01810,小米集团,31.76,安全,二买,向上,无信号,-,4条件未全部满足（买点但笔方向向上；15分无背驰；区间价格对齐-），继续观望,32.78,30.26,32.22,0.0802,0.0821,否
2026-05-11 14:51:53,观望,买入,是,安全,513130,恒生科技ETF,0.64,安全,二买,向下,无信号,-,4条件未全部满足（15分无背驰；区间价格对齐-），继续观望,0.61,0.61,0.63,0.0010,0.0008,否
2026-05-11 14:51:53,观望,买入,是,安全,515790,光伏ETF,1.12,安全,二买,向下,无信号,-,4条件未全部满足（15分无背驰；区间价格对齐-），继续观望,1.03,1.08,1.08,0.0064,0.0073,否
2026-05-11 14:51:53,观望,观望,是,安全,513360,教育ETF,0.50,安全,二买,向上,无信号,-,4条件未全部满足（买点但笔方向向上；15分无背驰；区间价格对齐-），继续观望,0.49,0.50,0.50,-0.0007,-0.0007,否
2026-05-11 14:51:53,观望,观望,否,安全,sh000001,上证指数,4227.06,安全,二买,向上,无信号,-,4条件未全部满足（买点但笔方向向上；15分无背驰；区间价格对齐-），继续观望,4101.83,4079.77,4180.21,12.5844,11.4363,否
